Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1646525391.0734477,37158,0,0,,-0.2851,0.7074,-0.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.0982854,37159,0,0,,-0.2832,0.7035,-0.2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.1232765,37160,0,0,,-0.2773,0.7054,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.148292,37161,0,0,,-0.2735,0.6995,-0.2687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.173206,37162,0,0,,-0.2735,0.6966,-0.2598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.1980495,37163,0,0,,-0.2706,0.6946,-0.2564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.2231238,37164,0,0,,-0.2677,0.6956,-0.2551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.2478623,37165,0,0,,-0.2675,0.7044,-0.2541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.272797,37166,0,0,,-0.2647,0.6975,-0.2561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.298842,37167,0,0,,-0.2677,0.6936,-0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.3236334,37168,0,0,,-0.2618,0.6946,-0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.3486266,37169,0,0,,-0.2617,0.7004,-0.2461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.373518,37170,0,0,,-0.2618,0.6975,-0.2461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.3982468,37171,0,0,,-0.2647,0.6956,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.4233499,37172,0,0,,-0.2608,0.6917,-0.2371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.4483013,37173,0,0,,-0.2608,0.6966,-0.2383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.4731054,37174,0,0,,-0.2608,0.6956,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.4979887,37175,0,0,,-0.2579,0.6946,-0.2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.52309,37176,0,0,,-0.2608,0.6956,-0.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.5478442,37177,0,0,,-0.2589,0.6917,-0.2381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.5727422,37178,0,0,,-0.2618,0.6937,-0.2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.5985985,37179,0,0,,-0.2599,0.6926,-0.2382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.6234066,37180,0,0,,-0.2607,0.6975,-0.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.6484213,37181,0,0,,-0.2618,0.6927,-0.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.6733024,37182,0,0,,-0.2608,0.6946,-0.2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
