Time,GPS_Data.seq,GPS_Data.stamp.secs,GPS_Data.stamp.nsecs,GPS_Data.frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter
1646525286.2421346,0,0,0,,42.205624,-71.051084,21.2,330678.47834692016,4674643.295904423,19,T
1646525287.2419765,0,0,0,,42.205609,-71.05109999999999,20.4,330677.1173821755,4674641.6620857995,19,T
1646525288.2420473,0,0,0,,42.20559,-71.05112199999999,19.7,330675.2503959822,4674639.59602543,19,T
1646525289.2405212,0,0,0,,42.205567,-71.051148,19.2,330673.0424991163,4674637.093751111,19,T
1646525290.24161,0,0,0,,42.205541000000004,-71.051178,18.8,330670.496362492,4674634.266303042,19,T
1646525291.2424111,0,0,0,,42.205514,-71.05121100000001,18.4,330667.6998846155,4674631.333775009,19,T
1646525292.2437532,0,0,0,,42.205481,-71.051249,17.5,330664.4745945162,4674627.744940597,19,T
1646525293.2412684,0,0,0,,42.205451999999994,-71.051286,17.0,330661.3425443215,4674624.598280746,19,T
1646525294.239153,0,0,0,,42.205424,-71.051322,16.7,330658.2957191799,4674621.560675656,19,T
1646525295.2437332,0,0,0,,42.205397000000005,-71.051355,16.7,330655.4992313399,4674618.628152233,19,T
1646525296.2423346,0,0,0,,42.20537099999999,-71.051387,16.9,330652.7879691726,4674615.804683234,19,T
1646525297.2421002,0,0,0,,42.205344999999994,-71.051417,17.1,330650.24181700783,4674612.977242117,19,T
1646525298.2429914,0,0,0,,42.205321000000005,-71.051448,17.6,330647.6184507391,4674610.37386825,19,T
1646525299.2425873,0,0,0,,42.205295,-71.05148,17.5,330644.9071823356,4674607.550402137,19,T
1646525300.2429361,0,0,0,,42.205269,-71.051516,16.6,330641.86568710953,4674604.734883607,19,T
1646525301.2427468,0,0,0,,42.205247,-71.051548,15.8,330639.1651028078,4674602.355579185,19,T
1646525302.243631,0,0,0,,42.205231000000005,-71.051573,15.2,330637.0584432457,4674600.628608173,19,T
1646525303.2409422,0,0,0,,42.205224,-71.051584,14.6,330636.13161959755,4674599.873182713,19,T
1646525304.2448194,0,0,0,,42.205224,-71.05158499999999,14.7,330636.04906336986,4674599.875169428,19,T
1646525305.2455475,0,0,0,,42.205224,-71.05158499999999,14.7,330636.04906336986,4674599.875169428,19,T
1646525306.2437146,0,0,0,,42.205224,-71.05158499999999,14.7,330636.04906336986,4674599.875169428,19,T
1646525307.2440567,0,0,0,,42.205224,-71.051587,14.1,330635.8839509103,4674599.879142863,19,T
1646525308.2451577,0,0,0,,42.205226,-71.051587,13.6,330635.8892952675,4674600.101222654,19,T
1646525309.2366977,0,0,0,,42.20522700000001,-71.051586,13.1,330635.974523672,4674600.2102758335,19,T
1646525310.2497659,0,0,0,,42.205229,-71.05158499999999,12.6,330636.0624242502,4674600.430368907,19,T
1646525311.244103,0,0,0,,42.205229,-71.051584,12.2,330636.14498047135,4674600.428382191,19,T
