%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1644337081051558221,224,1644337081051230430,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337082028335440,225,1644337082027900457,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337083030936368,226,1644337083030504465,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337084036126032,227,1644337084035733938,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337085052546381,228,1644337085052158832,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337086054579281,229,1644337086054013013,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337087056013518,230,1644337087055373907,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337088049425196,231,1644337088048904180,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337089051472857,232,1644337089051012516,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337090057723569,233,1644337090056827306,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337091040745896,234,1644337091040220975,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337092058298870,235,1644337092057744026,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337093057537204,236,1644337093057147741,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337094041247240,237,1644337094040808200,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337095042711167,238,1644337095042273521,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337096058937276,239,1644337096058497428,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337097059635535,240,1644337097059189319,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337098044001080,241,1644337098043610572,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337099046138082,242,1644337099045359611,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337100044702014,243,1644337100044266939,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337101062115058,244,1644337101061592102,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337102039632092,245,1644337102039244651,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337103047587440,246,1644337103046877622,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337104045811414,247,1644337104045372724,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337105047818039,248,1644337105047383308,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337106047119401,249,1644337106046679496,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337107048958112,250,1644337107048390150,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337108048074260,251,1644337108047637701,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337109048663204,252,1644337109048208713,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337110049109637,253,1644337110048668146,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337111048549965,254,1644337111047942399,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337112043269762,255,1644337112042841434,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337113053678023,256,1644337113053074121,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337114045009159,257,1644337114044578552,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337115051401669,258,1644337115050972223,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337116052199168,259,1644337116051760911,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337117052648611,260,1644337117052209854,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337118048131936,261,1644337118047723770,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337119049795402,262,1644337119049358129,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337120048097836,263,1644337120047660827,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337121054591108,264,1644337121054106473,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337122055101290,265,1644337122054659128,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337123056658946,266,1644337123056058645,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337124056302671,267,1644337124055863857,,42.34068833333333,-71.09820833333333,8.1,327157.7021309458,4689735.699742613,19.0,T
1644337125068256928,268,1644337125067869663,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337126073347756,269,1644337126072911262,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337127074546986,270,1644337127074108362,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337128076393090,271,1644337128075635433,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337129075424681,272,1644337129074967622,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337130055617397,273,1644337130054854154,,42.34068833333333,-71.09820833333333,8.0,327157.7021309458,4689735.699742613,19.0,T
1644337131078655177,274,1644337131078085184,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337132077876206,275,1644337132077490806,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337133062743472,276,1644337133062070608,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337134062485780,277,1644337134061918497,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337135079674662,278,1644337135079050540,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337136073159851,279,1644337136072675228,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337137079959893,280,1644337137079529523,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337138079853545,281,1644337138079394578,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337139080675738,282,1644337139080240726,,42.34068833333333,-71.09821,8.0,327157.5648315931,4689735.703130679,19.0,T
1644337140081087504,283,1644337140080639600,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337141064695375,284,1644337141064256668,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337142066700407,285,1644337142065876960,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337143083071436,286,1644337143082641124,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337144076675708,287,1644337144076135635,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337145067810897,288,1644337145067059993,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337146085158117,289,1644337146084511995,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337147083946817,290,1644337147083510637,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337148068332156,291,1644337148067901611,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337149065477906,292,1644337149065031051,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337150063806957,293,1644337150063385963,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337151088441394,294,1644337151087797164,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337152072296170,295,1644337152071731567,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337153071460256,296,1644337153070815324,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337154071017785,297,1644337154070587396,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337155067844384,298,1644337155067232608,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337156072887663,299,1644337156072509527,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337157072539119,300,1644337157072113037,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337158072587370,301,1644337158072152376,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337159073296252,302,1644337159072813510,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337160069500682,303,1644337160068629503,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337161075450054,304,1644337161074941635,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337162074483201,305,1644337162074059486,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337163076949450,306,1644337163076139450,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337164075595341,307,1644337164075164079,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337165076536771,308,1644337165076108455,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337166076946263,309,1644337166076515436,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337167079366336,310,1644337167078879117,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337168072205708,311,1644337168071769952,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337169077985006,312,1644337169077545404,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337170077885952,313,1644337170077443122,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337171079787653,314,1644337171078902006,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337172080913121,315,1644337172079992771,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337173080059938,316,1644337173079628229,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337174080607287,317,1644337174080189943,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337175098052351,318,1644337175097661256,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337176082338556,319,1644337176081522226,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337177098542124,320,1644337177098167181,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337178094641487,321,1644337178094075202,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337179103187467,322,1644337179102591037,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337180098940070,323,1644337180098484516,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337181083742249,324,1644337181083305358,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337182100899803,325,1644337182100385904,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337183100706131,326,1644337183100270509,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337184079652138,327,1644337184079200506,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337185088198729,328,1644337185087770223,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337186103283096,329,1644337186102846145,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337187105269492,330,1644337187104342460,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337188106803181,331,1644337188105157852,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337189104432311,332,1644337189103985548,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337190105170607,333,1644337190104731559,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337191106701177,334,1644337191106088638,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337192084106054,335,1644337192083715677,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337193105974032,336,1644337193105539560,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337194107032452,337,1644337194106590032,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337195090995081,338,1644337195090564966,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337196109688138,339,1644337196109108209,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337197093581654,340,1644337197093144655,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337198109825854,341,1644337198109188556,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337199094005492,342,1644337199093545198,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337200093866576,343,1644337200093420982,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337201095890319,344,1644337201095062255,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337202111169445,345,1644337202110728502,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337203096619755,346,1644337203096180200,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337204096065431,347,1644337204095624923,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337205097019690,348,1644337205096287727,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337206095645452,349,1644337206095208883,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337207096925062,350,1644337207096487283,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337208096408533,351,1644337208096019983,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337209100906398,352,1644337209100159168,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337210098232172,353,1644337210097795486,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337211098922550,354,1644337211098485469,,42.34069,-71.09821,8.0,327157.5693984933,4689735.888201512,19.0,T
1644337212099154460,355,1644337212098714828,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337213100937844,356,1644337213100548267,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337214100349767,357,1644337214099905490,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337215101553499,358,1644337215101109504,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337216094812219,359,1644337216094340562,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337217101953726,360,1644337217101534366,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337218102592225,361,1644337218102150201,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337219102830552,362,1644337219102395296,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337220105366187,363,1644337220104293823,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337221105939677,364,1644337221104990959,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337222104279372,365,1644337222103585481,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337223104936583,366,1644337223104380369,,42.340691666666665,-71.09821,8.0,327157.5739653935,4689736.073272346,19.0,T
1644337224108407524,367,1644337224107105016,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
1644337225107081205,368,1644337225106552600,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
1644337226123599411,369,1644337226123012781,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
1644337227123060894,370,1644337227122619867,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
1644337228123282855,371,1644337228122898578,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
1644337229124000901,372,1644337229123569011,,42.340691666666665,-71.09821,8.1,327157.5739653935,4689736.073272346,19.0,T
